"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5396","Negative-invalid login test invalid@open.com - wrong123","chromium","2026-06-23","passed","2026-06-23","","loginpagefix.spec.ts","",""
"","5984","tc4:user register test","chromium","2026-06-23","passed","2026-06-23","","regpagefix.spec.ts","",""
"","1","tc3: forgot pwd link exist test","chromium","2026-06-23","skipped","2026-06-23","","loginpagefix.spec.ts","",""
"","1","tc2:login page logo test","chromium","2026-06-23","skipped","2026-06-23","","loginpage.spec.ts","",""
"","1","tc1:login page title test","chromium","2026-06-23","skipped","2026-06-23","","loginpagefix.spec.ts","",""
"","1","tc4:login to the page test","chromium","2026-06-23","skipped","2026-06-23","","loginpage.spec.ts","",""
"","0","tc1: registration page title test","chromium","2026-06-23","skipped","2026-06-23","","registration.spec.ts","",""
"","0","tc1:login page title test","chromium","2026-06-23","skipped","2026-06-23","","loginpage.spec.ts","",""
"","5417","Negative-invalid login test pwbatchtest@open.com -","chromium","2026-06-23","passed","2026-06-23","","loginpagefix.spec.ts","",""
"","1","tc2:login page logo test","chromium","2026-06-23","skipped","2026-06-23","","loginpagefix.spec.ts","",""
"","0","tc6:on home page logout link exist test","chromium","2026-06-23","skipped","2026-06-23","","homepage.spec.ts","",""
"","0","tc3: forgot pwd link exist test","chromium","2026-06-23","skipped","2026-06-23","","loginpage.spec.ts","",""
"","5698","tc5:home page title test","chromium","2026-06-22","passed","2026-06-22","","homepagefix.spec.ts","",""
"","5713","Negative-invalid login test - pw123","chromium","2026-06-23","passed","2026-06-23","","loginpagefix.spec.ts","",""
"","1","tc4:user able to login to the page test","chromium","2026-06-23","skipped","2026-06-23","","loginpagefix.spec.ts","",""
"","1","tc8: verify all headers on home page test","chromium","2026-06-23","skipped","2026-06-23","","homepage.spec.ts","",""
"","5682","Negative-invalid login testinvalid@open.com - wrong123","chromium","2026-06-23","passed","2026-06-23","","loginpagefix.spec.ts","",""
"","5759","POSITIVE registration test undefined - undefined","chromium","2026-06-23","passed","2026-06-23","","regpagefix.spec.ts","",""
"","5159","registration test","chromium","2026-06-23","passed","2026-06-23","","regpagefix.spec.ts","",""
"","5316","login test","chromium","2026-06-23","passed","2026-06-23","","loginpagefix.spec.ts","",""
"","1","tc:NEGATIVE TEST login to app using wrong creds","chromium","2026-06-23","skipped","2026-06-23","","loginpagefix.spec.ts","",""
"","0","tc7:total count of headers on home page test","chromium","2026-06-23","skipped","2026-06-23","","homepagefix.spec.ts","",""
"","5201","tc2:user register test","chromium","2026-06-23","passed","2026-06-23","","registration.spec.ts","",""
"","1","tc6:on home page logout link exist test","chromium","2026-06-23","skipped","2026-06-23","","homepagefix.spec.ts","",""
"","0","tc8: verify all headers on home page test","chromium","2026-06-23","skipped","2026-06-23","","homepagefix.spec.ts","",""
"","5728","Negative-invalid login testpwbatchtest@open.com -","chromium","2026-06-23","passed","2026-06-23","","loginpagefix.spec.ts","",""
"","80128","tc5:home page title test","chromium","2026-06-23","failed","2026-06-23","","homepage.spec.ts","",""
"","5093","Negative-invalid login test - pw123","chromium","2026-06-23","passed","2026-06-23","","loginpagefix.spec.ts","",""
"","1","tc7:total count of headers on home page test","chromium","2026-06-23","skipped","2026-06-23","","homepage.spec.ts","",""
"","4739","tc4:login to the page test","chromium","2026-06-22","passed","2026-06-22","","loginpagefix.spec.ts","",""
